PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Mason Plumlee, BKN,PF,70,18.2,0.67,11.4,14.7,15.6,9.3,19.6,14.5,19.09,144.4,4.8,24,83,235,1357080
Ty Lawson, DEN,PG,62,35.8,0.553,31.4,11.6,23.5,1.9,8.5,5.2,19.02,266,8.9,26,71,195,11595506
Derrick Favors, UTAH,C,73,30.2,0.556,8.3,11.8,19.3,10.1,23.7,16.7,19.01,276.3,9.2,23,82,268,12950000
Tony Parker, SA,PG,68,29.4,0.555,24.9,9.7,25.9,1,7.5,4.4,19,238.5,7.9,32,74,185,12500000
Ryan Anderson, NO,PF,22,36.1,0.572,4.1,4.8,20.9,9.5,11.3,10.4,18.89,87.7,2.9,26,82,240,8491500
Amar'e Stoudemire, NY,PF,65,22.6,0.596,4.4,11.8,21.3,8.7,17.2,12.8,18.89,161.6,5.4,31,83,245,23410988
Andray Blatche, BKN,C,73,22.2,0.532,11.3,11.1,23.4,8.9,19.9,14.4,18.85,199.2,6.6,27,83,260,0
Nikola Vucevic, ORL,C,57,31.8,0.536,10.7,11.5,20,11.5,27.6,19.5,18.85,223,7.4,23,85,250,2751260
Patty Mills, SA,PG,81,18.9,0.588,16.3,6.9,21.2,2.6,9.6,6.2,18.8,177.7,5.9,26,73,185,3842105
Damian Lillard, POR,PG,82,35.8,0.568,21.3,9,24.7,1.3,9.2,5.3,18.69,337.1,11.2,24,75,195,3340920
Chris Andersen, MIA,PF,72,19.4,0.683,4.5,12.6,12.1,12.1,21.7,17.1,18.56,147,4.9,36,82,245,5375000
James Johnson, MEM,PF,52,18.4,0.552,21.2,12.6,19.7,7.4,13.2,10.3,18.5,99.9,3.3,27,81,248,2500000
Markieff Morris, PHX,PF,81,26.6,0.564,11.3,11.5,21.6,7.3,18,12.6,18.48,224.1,7.5,24,82,245,2989239
Tyreke Evans, NO,SF,72,28.2,0.504,23.1,11.1,26.7,4.3,15.4,9.8,18.43,239.9,8,24,78,220,11265416
DeMar DeRozan, TOR,SG,79,38.2,0.532,14.4,8.1,26.6,2,11.3,6.6,18.42,356.8,11.9,25,79,216,10100000
Rudy Gay, SAC/TOR,SF,73,34.7,0.54,11.7,12.6,25.2,5,14.7,9.8,18.4,298.3,9.9,28,80,230,19317326
Zach Randolph, MEM,PF,79,34.2,0.51,11.6,10.6,24.6,11.6,23.3,17.4,18.37,277.4,9.2,33,81,260,16500000
Kris Humphries, BOS,PF,69,19.9,0.552,10.2,9.8,17.8,10.2,24,16.9,18.28,157.8,5.3,29,81,235,4250000
Marc Gasol, MEM,C,59,33.4,0.526,18.8,9.7,21.2,5,20.5,12.7,18.27,225.4,7.5,29,85,265,15829688
DeAndre Jordan, LAC,C,82,35,0.63,8.4,14,11.3,13.3,29.3,21.6,18.19,325.1,10.8,26,83,265,11440123
Greg Monroe, DET,PF,82,32.8,0.531,11.3,11,20.6,9.9,21.6,15.4,18.16,267.4,8.9,24,83,250,0
John Henson, MIL,C,70,26.5,0.543,12,12.1,19.1,10.2,20.8,15.3,17.97,204,6.8,23,83,220,1987320
Deron Williams, BKN,PG,64,32.2,0.564,29.1,10.6,21.7,0.9,8.9,4.9,17.69,205.7,6.9,30,75,209,19754465
Robin Lopez, POR,C,82,31.8,0.605,8,9.3,13,13.6,15.3,14.5,17.68,275.2,9.2,26,85,255,6124729
Marcin Gortat, WSH,C,81,32.8,0.568,11.5,10.5,16.9,8.7,25.1,16.7,17.66,279.7,9.3,30,83,240,10434782
Jon Leuer, MEM,PF,49,13.1,0.566,6.4,8.6,19.5,6.8,22.4,14.6,17.65,58.9,2,25,82,228,967500
David West, IND,PF,80,30.9,0.533,15.9,9.5,20.6,5.7,18.3,12.3,17.55,223.1,7.4,33,81,250,12000000
Jeff Adrien, MIL/CHA,SF,53,18.1,0.553,9.4,9.6,18.4,11.8,24.8,18.2,17.49,85.9,2.9,28,79,245,915243
Jamal Crawford, LAC,SG,69,30.3,0.556,14.8,8.9,25.5,1.9,6.4,4.2,17.39,215.2,7.2,34,77,200,5450000
DeJuan Blair, DAL,C,78,15.6,0.557,11.8,13,18.1,13.3,21.6,17.5,17.33,121.9,4.1,25,79,270,2000000
Jrue Holiday, NO,PG,34,33.6,0.505,31.4,12.3,24.1,2.8,11.8,7.2,17.19,105.6,3.5,24,76,205,10404495
Jeff Teague, ATL,PG,79,32.2,0.541,26.9,11.8,25.2,1.6,7.9,4.7,17.16,233.6,7.8,26,74,181,8000000
Andrew Bogut, GS,C,67,26.4,0.61,18.3,15.8,11.9,11.4,29.7,20.7,17.11,171.8,5.7,29,85,260,12972973
Chris Kaman, LAL,C,39,18.9,0.537,11.4,14.6,24.3,7.8,25.4,16.6,17.06,71,2.4,32,85,265,4800000
Anderson Varejao, CLE,C,65,27.7,0.527,19.2,9.9,14.3,11.4,28.2,19.6,17.05,173.4,5.8,31,83,267,9704545
Samuel Dalembert, DAL,C,80,20.2,0.605,6.7,15.9,13.5,14.4,24.2,19.4,16.88,151.3,5,33,83,250,4051527
Monta Ellis, DAL,SG,82,36.9,0.532,21.4,12,25.1,1.5,9.8,5.6,16.83,285.4,9.5,28,75,185,8360000
Kemba Walker, CHA,PG,73,35.8,0.499,23.4,8.9,25,1.7,11.6,6.6,16.82,227.1,7.6,24,73,184,3272091
Paul Pierce, BKN,SF,75,28,0.595,15.1,13,20.8,1.5,18.3,9.9,16.81,197.5,6.6,36,79,235,5305000
Timofey Mozgov, DEN,C,82,21.6,0.584,7.4,14.5,17.3,10.4,21.9,16.1,16.77,162.9,5.4,28,85,250,4650000
J.J. Redick, LAC,SG,35,28.2,0.598,13.8,7.4,20.3,1,7.1,4.2,16.64,90.5,3,30,76,190,6792500
Thaddeus Young, PHI,PF,79,34.4,0.512,10.5,9.5,22.5,6.3,12.8,9.5,16.64,208.6,7,26,80,230,9410869
Brandon Knight, MIL,PG,72,33.3,0.523,19.8,10.6,26.2,2.1,10.3,6.1,16.59,200.3,6.7,22,75,189,3553917
Gorgui Dieng, MIN,C,60,13.6,0.534,10.8,15,15.8,13.4,26.9,20,16.58,73,2.4,24,83,238,1413480
Tiago Splitter, SA,C,59,21.5,0.572,15.3,12.8,16.5,11.4,20.5,16.1,16.58,113.4,3.8,29,83,245,9250000
Gerald Green, PHX,SG,82,28.4,0.585,8.9,10.6,21.8,2.3,10.9,6.6,16.55,210.4,7,28,80,210,3500000
Tobias Harris, ORL,SF,61,30.3,0.542,8.3,7.9,20.2,5.4,20.6,13,16.54,166.9,5.6,22,81,235,2380594
Kosta Koufos, MEM,C,80,16.9,0.514,6.4,11.1,18,14,22.7,18.4,16.54,119.6,4,25,85,265,3000000
Kyle O'Quinn, ORL,PF,69,17.2,0.526,13.8,13.8,17.3,9.5,25.2,17.3,16.52,89.1,3,24,82,250,915243
Tyson Chandler, NY,C,55,30.2,0.615,11.3,13.6,12,10.9,27,18.7,16.48,145.8,4.9,31,85,240,14846888
Jared Sullinger, BOS,C,74,27.6,0.497,9.6,9.7,22.6,13,20.6,16.7,16.42,177.2,5.9,22,81,260,1424520
Kevin Martin, MIN,SG,68,32,0.553,8.8,7.6,23.4,1.7,8.7,5.1,16.37,190.8,6.4,31,79,197,6792500
J.J. Hickson, DEN,C,69,26.9,0.521,9.5,12.7,19.4,11.9,24.8,18.3,16.27,157.3,5.2,25,81,242,5381750
Jeremy Evans, UTAH,SF,66,18.3,0.549,9.8,8.9,14.3,11.1,18.7,14.8,16.27,104.1,3.5,26,81,197,1794871
D.J. Augustin, CHI/TOR,PG,71,27.3,0.569,24.9,10,22.6,0.9,6.7,3.8,16.22,151,5,26,73,183,3000000
Gordon Hayward, UTAH,SG,77,36.4,0.52,22.1,11.7,22.7,2.5,14,8,16.22,238.9,8,24,80,220,14746000
Darren Collison, LAC,PG,80,25.9,0.575,24.3,10.8,19.4,2.6,7.3,5,16.21,160.8,5.4,26,73,175,4797664
Jonas Valanciunas, TOR,C,81,28.2,0.579,5.8,13.8,16.9,11.5,25.1,18.2,16.17,189.6,6.3,22,83,231,3678360
Henry Sims, CLE/PHI,C,46,19,0.535,12.4,9.8,14.6,12.5,17.2,14.7,16.14,72.4,2.4,24,82,248,915243
Nick Young, LAL,SF,64,28.3,0.564,7.9,7.9,24.1,1.7,8.1,4.9,16.11,151.6,5.1,29,79,210,4994420
Arron Afflalo, ORL,SG,73,35,0.574,16,9.4,21.9,1.4,10.2,5.8,16.09,212.8,7.1,28,77,215,7500000
Taj Gibson, CHI,PF,82,28.7,0.524,7.2,11.9,21.2,9.8,17.1,13.5,16.09,161,5.4,29,81,225,8000000
Ramon Sessions, MIL/CHA,PG,83,26.7,0.539,23.7,10.3,21.5,1.9,8.6,5.2,16.04,166.5,5.6,28,75,190,0
C.J. Miles, CLE,SG,51,19.3,0.569,9.7,8.2,20.6,2,9.9,5.9,16.03,81.2,2.7,27,78,231,4205000
Ed Davis, MEM,PF,63,15.2,0.542,6.8,10.1,16.5,11.4,20.9,16.1,15.99,64,2.1,25,82,225,981084
Vince Carter, DAL,SG,81,24.4,0.539,17.4,8.9,21.9,4,12.6,8.3,15.97,161.2,5.4,37,78,220,3911981
Chandler Parsons, HOU,SF,74,37.6,0.565,19.5,9.4,18.6,2.9,12.8,8.2,15.9,224.3,7.5,25,81,227,14700000
Jimmer Fredette, CHI/SAC,PG,49,10.6,0.578,18.4,13.8,25.9,1.7,9.7,5.7,15.88,37.8,1.3,25,74,195,915243
Trevor Ariza, WSH,SG,77,35.4,0.59,15.1,10.5,16.8,4.1,16.3,10.1,15.87,218.4,7.3,29,80,220,8579089
Nicolas Batum, POR,SF,82,36,0.589,27.3,13.5,16.8,4.3,17.8,11.1,15.86,236.7,7.9,25,80,200,11765500
Alec Burks, UTAH,PG,78,28.1,0.547,15.6,11,22.8,3,10.7,6.8,15.82,157.8,5.3,23,78,211,3034356
Spencer Hawes, CLE/PHI,PF,80,30.9,0.554,17.6,12.7,19.8,5.6,24.2,14.6,15.77,190.6,6.4,26,85,245,5305000
Wesley Matthews, POR,SG,82,33.9,0.588,13.6,7.6,18.7,2,9.1,5.6,15.7,215.9,7.2,27,77,220,7245640
Enes Kanter, UTAH,C,80,26.7,0.523,6.5,12.4,21.4,11.6,20.9,16.1,15.7,162.7,5.4,22,83,247,5694674
Brandon Jennings, DET,PG,80,34.1,0.486,29,10.2,24.6,2.2,7.8,4.9,15.67,190,6.3,24,73,169,8000000
Tony Allen, MEM,SG,55,23.2,0.531,14.5,13.8,19.2,7.3,12,9.6,15.64,98.1,3.3,32,76,213,4831461
Nate Robinson, DEN,PG,44,19.7,0.544,19,9.8,22.8,2.6,7.5,5,15.64,60,2,30,69,180,2106720
Michael Carter-Williams, PHI,PG,70,34.5,0.48,23.2,13,25.3,4.3,15.6,9.8,15.59,165.4,5.5,22,78,185,2300040
Joe Johnson, BKN,SG,79,32.6,0.564,15,8.3,20.7,2.2,10.3,6.3,15.54,193.5,6.5,33,79,240,23180790
Amir Johnson, TOR,PF,77,28.8,0.592,12.6,13.5,15.4,9,17.6,13.3,15.44,130.2,4.3,27,81,210,7000000
Reggie Jackson, OKC,PG,80,28.5,0.527,22.2,11.3,22,2.2,12.8,7.8,15.43,150.6,5,24,75,208,2204369
Tyler Zeller, CLE,C,70,15,0.581,8.2,13.7,15.9,10.8,19.6,15.1,15.43,75.5,2.5,24,85,253,1703760
Ricky Rubio, MIN,PG,82,32.2,0.491,40.9,12.9,18.3,2.5,11.9,7.1,15.35,171.3,5.7,23,76,185,4660479
Mike Scott, ATL,PF,80,18.5,0.559,8.9,9.4,21.2,4.9,17.2,11.1,15.34,85,2.8,26,80,237,0
Jermaine O'Neal, GS,C,44,20.1,0.57,6.5,13.6,16.2,10.7,19.1,15,15.34,62.5,2.1,35,83,255,0
Rajon Rondo, BOS,PG,30,33.3,0.461,38.1,12.8,23.2,2.4,16.6,9.3,15.34,64.6,2.2,28,73,186,12909090
Kelly Olynyk, BOS,C,70,20,0.546,14.1,13.8,20,11,18.8,14.8,15.27,97.5,3.3,23,85,238,2075760
Jeff Withey, NO,C,58,11.8,0.59,12.6,9.7,11.3,8.2,17.4,12.7,15.25,47.5,1.6,24,85,235,816482
Andrew Bynum, CLE/IND,C,26,19.8,0.456,9.4,11,21.9,11.3,20.4,15.8,15.25,35.8,1.2,26,85,285,0
Jose Calderon, DAL,PG,81,30.5,0.596,30,8.2,16.4,1.4,7.6,4.5,15.25,156.4,5.2,32,75,211,7097191
Luol Deng, CHI/CLE,SF,63,35.1,0.517,14.4,8.9,24,5,13.5,9.2,15.22,155.8,5.2,29,81,220,9714461
Marreese Speights, GS,PF,79,12.4,0.507,5.3,11,23,11.4,20.6,16.1,15.22,54.5,1.8,27,82,255,3657500
Marco Belinelli, SA,SG,80,25.2,0.605,17.4,9.3,17.9,1,11.2,6.3,15.09,138.2,4.6,28,77,210,2873750
Jordan Farmar, LAL,PG,41,22.2,0.533,29.1,13.9,23.1,2.3,9.8,6.1,15.05,55.2,1.8,27,74,180,2077000
Trevor Booker, WSH,PF,72,21.6,0.563,11.5,10.4,13.4,10.9,17.5,14.1,15.02,81.6,2.7,26,80,235,5000000
Brandon Bass, BOS,PF,82,27.6,0.549,8.5,10,17,7.8,15.9,11.8,15.01,118.8,4,29,80,250,6900000
Tristan Thompson, CLE,PF,82,31.6,0.528,6.6,9.9,16.2,11.4,21.5,16.3,14.96,133.8,4.5,23,81,238,5138430
Eric Gordon, NO,SG,64,32.1,0.54,16.5,10.7,22.2,1.7,7.7,4.7,14.92,135.8,4.5,25,76,215,14898938
Marcus Morris, PHX,PF,82,22,0.552,9.7,10.5,18.4,5.2,14.6,9.9,14.89,91,3,24,81,235,2943221
Jodie Meeks, LAL,SG,77,33.2,0.601,11,8.8,17.4,1.3,6.9,4.1,14.75,162.2,5.4,27,76,208,6000000
Cory Joseph, SA,PG,68,13.8,0.558,24.6,9.3,16.5,4,8.7,6.4,14.72,52,1.7,23,75,190,1023261
Lance Stephenson, IND,SG,78,35.3,0.564,23.5,13.8,19,4.1,18.1,11.4,14.72,173.3,5.8,23,77,230,9000000
Patrick Patterson, SAC/TOR,PF,65,23.6,0.533,11.8,9.8,14.4,8.8,17.1,12.9,14.67,72.6,2.4,25,81,235,5831326
Devin Harris, DAL,PG,40,20.5,0.517,32.9,10.9,20.8,1.1,10.8,6,14.66,44.6,1.5,31,75,192,3878896
Alexis Ajinca, NO,C,56,17,0.589,10.5,16.5,15.2,11.3,22.7,16.9,14.62,57.1,1.9,26,86,248,981084
Miles Plumlee, PHX,C,80,24.6,0.529,5.6,14.5,14.7,11.3,24.4,17.9,14.6,117.3,3.9,25,83,255,1169880
Andrea Bargnani, NY,C,42,29.9,0.51,6.9,8.9,20.5,6.3,14.7,10.4,14.53,73.8,2.5,28,85,250,11500000
Shaun Livingston, BKN,PG,76,26,0.551,26.6,11.4,15.8,4.1,10.8,7.5,14.52,103.8,3.5,28,79,175,5305000
Carlos Boozer, CHI,PF,76,28.2,0.489,8.8,11.5,24.4,7.4,25.9,16.8,14.48,95.2,3.2,32,81,266,3251000
Will Bynum, DET,PG,56,18.8,0.502,26.9,12.8,24.7,2.4,8.2,5.1,14.44,54.1,1.8,31,73,185,2915908
Jordan Crawford, BOS/GS,SG,81,23,0.516,22,10.5,22.4,1.7,9.4,5.5,14.4,108.2,3.6,25,76,195,0
Mirza Teletovic, BKN,PF,72,19.4,0.559,8.5,8.1,18.5,5.2,17.6,11.4,14.38,60.1,2,28,81,242,3368100
Bradley Beal, WSH,SG,73,34.7,0.507,15.2,8,23,2.4,10.2,6.3,14.32,144.2,4.8,21,77,207,4505280
Klay Thompson, GS,SG,81,35.4,0.555,10.9,8.2,20.9,1.5,7.9,4.7,14.32,163.3,5.4,24,79,205,3075880
Jeremy Lin, HOU,PG,71,28.9,0.572,23.5,14.1,20,2,7.8,5.1,14.31,101.4,3.4,25,75,200,8374646
Louis Williams, ATL,SG,60,24.1,0.547,24,10.5,20.2,0.8,9.1,5,14.24,80.7,2.7,27,73,175,5450000
Tyler Hansbrough, TOR,PF,64,15.3,0.562,5,13.8,13.8,14.2,20,17.1,14.2,39.4,1.3,28,81,250,3326235
Greivis Vasquez, SAC/TOR,PG,79,22.5,0.537,27.9,11.1,19.1,1.3,10,5.6,14.2,84.8,2.8,27,78,211,6400000
Thomas Robinson, POR,PF,70,12.5,0.502,7.9,13.3,18.4,13.1,24.6,18.9,14.15,34.6,1.2,23,82,237,3678360
Boris Diaw, SA,PF,79,25,0.578,23,12.6,16.4,4.4,13.8,9.3,14.12,77.2,2.6,32,80,250,7500000
Josh Smith, DET,SF,77,35.5,0.463,13.9,11,23.9,3.9,17.6,10.4,14.1,146.8,4.9,28,81,225,13500000
Dion Waiters, CLE,SG,70,29.6,0.508,14.4,10.5,25.7,1.7,9,5.3,14.1,111.3,3.7,22,76,225,4062000
Mario Chalmers, MIA,PG,73,29.8,0.567,31,14.1,17.3,2.5,9.6,6.2,14.06,99.6,3.3,28,74,190,4000000
Elton Brand, ATL,PF,73,19.4,0.561,14.6,11.8,12.9,8,21.5,14.8,14.05,53.8,1.8,35,81,254,0
Omer Asik, HOU,C,48,20.2,0.57,7.6,17.9,12.6,12.3,30.1,21.7,14.05,49.8,1.7,28,85,255,8374646
Marvin Williams, UTAH,PF,66,25.4,0.54,11.3,7.7,15.7,5.5,17.9,11.5,14.04,63.4,2.1,28,81,237,7000000
Rodney Stuckey, DET,PG,73,26.7,0.516,12.1,9.9,23.5,2.1,7.7,4.7,14.04,102.9,3.4,28,77,205,915243
Zaza Pachulia, MIL,C,53,25,0.502,21.4,14.5,16.8,11.8,17.1,14.4,14.03,67.9,2.3,30,83,275,5200000
Larry Sanders, MIL,C,23,25.4,0.478,8.2,11.2,15.3,11.4,21.3,16.2,14.02,29.8,1,25,83,235,11000000
J.R. Smith, NY,SG,74,32.7,0.527,16.3,8,20.6,1.7,13.1,7.2,14,126.4,4.2,28,78,220,5982375
Anthony Morrow, NO,SG,76,18.8,0.57,8.8,7.6,18,2.3,9.2,5.7,13.96,73.6,2.5,28,77,210,3200000
DeMarre Carroll, ATL,SF,73,32.1,0.575,14.6,8.6,14.1,5.3,14.5,10,13.96,120.8,4,28,80,212,2442455
Andre Miller, DEN/WSH,PG,58,16.9,0.534,37.7,11.7,15.5,3.1,11.7,7.4,13.9,42.5,1.4,38,74,200,4650000
Danny Green, SA,SG,68,24.3,0.58,14.6,10.7,15.5,1.8,13.4,7.8,13.9,83.7,2.8,27,78,215,4025000
Jameer Nelson, ORL,PG,68,32,0.515,33.1,11.5,20.7,1.5,10.5,6,13.89,94.1,3.1,32,73,190,2732000
Ersan Ilyasova, MIL,PF,55,26.9,0.486,9.4,7.9,19.9,8,18.8,13.3,13.85,51.9,1.7,27,82,235,7900000
Ronny Turiaf, MIN,C,31,19.5,0.578,13.1,13.6,10.2,9.6,22,15.6,13.84,29.3,1,31,82,241,1500000
