PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Lavoy Allen, IND/PHI,PF,65,16.5,0.47,16.2,10.1,16.1,11.7,20,15.7,12.52,16.3,0.5,25,81,255,915243
Aaron Brooks, DEN/HOU,PG,72,21.6,0.518,24,12,20.8,3.1,6.7,4.9,12.51,35,1.2,29,73,161,915243
Mike Miller, MEM,SF,82,20.8,0.619,19.3,11.4,14.4,2.1,12.3,7.2,12.5,51,1.7,34,80,218,2732000
Wilson Chandler, DEN,SF,62,31.1,0.526,11.4,7.9,18.3,3.2,13.3,8.2,12.48,56.9,1.9,27,80,225,6757913
Andrei Kirilenko, BKN,SF,45,19,0.532,21.3,16,13.9,7.7,12.7,10.2,12.48,25.3,0.8,33,81,235,3326235
Jason Smith, NO,C,31,26.8,0.495,8,7.8,16.8,7,18.5,12.7,12.47,23.2,0.8,28,85,240,3278000
Evan Turner, IND/PHI,SF,81,30.3,0.498,16.5,11.9,18.5,2.7,15.7,9.1,12.43,70.9,2.4,25,79,220,0
Patrick Beverley, HOU,PG,56,31.3,0.545,20.3,8.9,14.3,4.9,7.4,6.2,12.43,37.4,1.2,26,73,185,915243
Nick Calathes, MEM,SG,71,16.5,0.506,31.8,15.5,18.3,2.3,11.5,6.9,12.36,32.5,1.1,25,78,213,816482
Xavier Henry, LAL,SF,43,21.1,0.511,9.6,10.7,20.9,2.9,10.5,6.7,12.36,25.1,0.8,23,78,220,1082000
Kenyon Martin, NY,PF,32,19.8,0.521,24.1,12.5,11.4,6.5,18.7,12.5,12.25,7.1,0.2,36,81,225,0
Caron Butler, MIL/OKC,SF,56,25.3,0.512,11.5,8.4,22.4,1.7,16.6,9.2,12.24,36.8,1.2,34,79,228,4500000
Anthony Randolph, DEN,SF,43,12.3,0.499,11.5,14.1,18.6,4.1,21,12.5,12.23,13.6,0.5,25,83,225,1825359
Chris Douglas-Roberts, CHA,SG,49,20.7,0.588,13.6,9.6,13.7,1.8,11.5,6.6,12.19,25.6,0.9,27,79,210,0
Robert Sacre, LAL,C,65,16.8,0.513,11.7,10.1,14.1,8,16.9,12.5,12.17,25.5,0.9,25,85,260,915243
